time_bin,topic_id,frequency,bin_start,bin_end,Timestamp,words,velocity,trend_label,freq_median_topic
"(2019-09-25 00:00:00, 2019-10-21 00:00:00]",1,0.00083857442348,2019-09-25 00:00:00.000000,2019-10-21,2019-10-08 00:00:00.000000,,-2.7577523230025e-05,Stable,0.0
"(2019-10-21 00:00:00, 2019-11-13 00:00:00]",1,0.0008771929824561,2019-10-21 00:00:00.000000,2019-11-13,2019-11-01 12:00:00.000000,,3.858620157436052e-05,Stable,0.0
"(2019-11-13 00:00:00, 2019-12-07 00:00:00]",1,0.0008916629514043,2019-11-13 00:00:00.000000,2019-12-07,2019-11-25 00:00:00.000000,,1.4457287117395183e-05,Stable,0.0
"(2019-12-07 00:00:00, 2020-01-08 00:00:00]",1,0.0,2019-12-07 00:00:00.000000,2020-01-08,2019-12-23 00:00:00.000000,,-0.000890868596881891,Stable,0.0
"(2020-01-08 00:00:00, 2020-02-05 00:00:00]",1,0.0,2020-01-08 00:00:00.000000,2020-02-05,2020-01-22 00:00:00.000000,,0.0,Stable,0.0
"(2020-02-05 00:00:00, 2020-02-28 00:00:00]",1,0.0008916629514043,2020-02-05 00:00:00.000000,2020-02-28,2020-02-16 12:00:00.000000,,0.0008916629514043,Stable,0.0
"(2020-02-28 00:00:00, 2020-03-24 00:00:00]",1,0.0008620689655172,2020-02-28 00:00:00.000000,2020-03-24,2020-03-11 12:00:00.000000,,-2.956762153441662e-05,Stable,0.0
"(2020-03-24 00:00:00, 2020-04-17 00:00:00]",1,0.0004361098996947,2020-03-24 00:00:00.000000,2020-04-17,2020-04-05 00:00:00.000000,,-0.00042559217601559,Stable,0.0
"(2020-04-17 00:00:00, 2020-05-08 00:00:00]",1,0.0,2020-04-17 00:00:00.000000,2020-05-08,2020-04-27 12:00:00.000000,,-0.00043591979075847736,Stable,0.0
"(2020-05-08 00:00:00, 2020-05-27 00:00:00]",1,0.0,2020-05-08 00:00:00.000000,2020-05-27,2020-05-17 12:00:00.000000,,0.0,Stable,0.0
"(2020-05-27 00:00:00, 2020-06-15 00:00:00]",1,0.0,2020-05-27 00:00:00.000000,2020-06-15,2020-06-05 12:00:00.000000,,0.0,Stable,0.0
"(2020-06-15 00:00:00, 2020-07-03 00:00:00]",1,0.0004248088360237,2020-06-15 00:00:00.000000,2020-07-03,2020-06-24 00:00:00.000000,,0.0004248088360237,Stable,0.0
"(2020-07-03 00:00:00, 2020-07-22 00:00:00]",1,0.0,2020-07-03 00:00:00.000000,2020-07-22,2020-07-12 12:00:00.000000,,-0.0004246284501060679,Stable,0.0
"(2020-07-22 00:00:00, 2020-08-11 00:00:00]",1,0.0,2020-07-22 00:00:00.000000,2020-08-11,2020-08-01 00:00:00.000000,,0.0,Stable,0.0
"(2020-08-11 00:00:00, 2020-08-28 00:00:00]",1,0.0,2020-08-11 00:00:00.000000,2020-08-28,2020-08-19 12:00:00.000000,,0.0,Stable,0.0
"(2020-08-28 00:00:00, 2020-09-17 00:00:00]",1,0.0,2020-08-28 00:00:00.000000,2020-09-17,2020-09-07 00:00:00.000000,,0.0,Stable,0.0
"(2020-09-17 00:00:00, 2020-10-06 00:00:00]",1,0.0,2020-09-17 00:00:00.000000,2020-10-06,2020-09-26 12:00:00.000000,,0.0,Stable,0.0
"(2020-10-06 00:00:00, 2020-10-26 00:00:00]",1,0.0,2020-10-06 00:00:00.000000,2020-10-26,2020-10-16 00:00:00.000000,,0.0,Stable,0.0
"(2020-10-26 00:00:00, 2020-11-14 00:00:00]",1,0.0,2020-10-26 00:00:00.000000,2020-11-14,2020-11-04 12:00:00.000000,,0.0,Stable,0.0
"(2020-11-14 00:00:00, 2020-12-03 00:00:00]",1,0.0,2020-11-14 00:00:00.000000,2020-12-03,2020-11-23 12:00:00.000000,,0.0,Stable,0.0
"(2020-12-03 00:00:00, 2020-12-24 00:00:00]",1,0.0,2020-12-03 00:00:00.000000,2020-12-24,2020-12-13 12:00:00.000000,,0.0,Stable,0.0
"(2020-12-24 00:00:00, 2021-01-19 00:00:00]",1,0.0,2020-12-24 00:00:00.000000,2021-01-19,2021-01-06 00:00:00.000000,,0.0,Stable,0.0
"(2021-01-19 00:00:00, 2021-02-09 00:00:00]",1,0.0,2021-01-19 00:00:00.000000,2021-02-09,2021-01-29 12:00:00.000000,,0.0,Stable,0.0
"(2021-02-09 00:00:00, 2021-02-28 00:00:00]",1,0.0,2021-02-09 00:00:00.000000,2021-02-28,2021-02-18 12:00:00.000000,,0.0,Stable,0.0
"(2021-02-28 00:00:00, 2021-03-23 00:00:00]",1,0.0,2021-02-28 00:00:00.000000,2021-03-23,2021-03-11 12:00:00.000000,,0.0,Stable,0.0
"(2021-03-23 00:00:00, 2021-06-08 00:00:00]",1,0.0,2021-03-23 00:00:00.000000,2021-06-08,2021-04-30 12:00:00.000000,,0.0,Stable,0.0
"(2021-06-08 00:00:00, 2021-08-17 00:00:00]",1,0.0,2021-06-08 00:00:00.000000,2021-08-17,2021-07-13 00:00:00.000000,,0.0,Stable,0.0
"(2021-08-17 00:00:00, 2021-10-22 00:00:00]",1,0.0,2021-08-17 00:00:00.000000,2021-10-22,2021-09-19 00:00:00.000000,,0.0,Stable,0.0
"(2021-10-22 00:00:00, 2021-12-31 00:00:00]",1,0.0,2021-10-22 00:00:00.000000,2021-12-31,2021-11-26 00:00:00.000000,,0.0,Stable,0.0
"(2018-12-31 23:59:59.999999, 2019-01-29 00:00:00]",2,0.0,2018-12-31 23:59:59.999999,2019-01-29,2019-01-14 23:59:59.999999,,0.0,Stable,0.0004217776746014
"(2019-01-29 00:00:00, 2019-02-20 00:00:00]",2,0.0,2019-01-29 00:00:00.000000,2019-02-20,2019-02-09 00:00:00.000000,,0.0,Stable,0.0004217776746014
"(2019-02-20 00:00:00, 2019-03-16 00:00:00]",2,0.0008536064874093,2019-02-20 00:00:00.000000,2019-03-16,2019-03-04 00:00:00.000000,,0.0008536064874093,Stable,0.0004217776746014
"(2019-03-16 00:00:00, 2019-04-09 00:00:00]",2,0.0004253509145044,2019-03-16 00:00:00.000000,2019-04-09,2019-03-28 00:00:00.000000,,-0.00042789032294933074,Stable,0.0004217776746014
"(2019-04-09 00:00:00, 2019-05-03 00:00:00]",2,0.0004387889425186,2019-04-09 00:00:00.000000,2019-05-03,2019-04-21 00:00:00.000000,,1.3432314566915062e-05,Stable,0.0004217776746014
"(2019-05-03 00:00:00, 2019-05-26 00:00:00]",2,0.0004387889425186,2019-05-03 00:00:00.000000,2019-05-26,2019-05-14 12:00:00.000000,,0.0,Stable,0.0004217776746014
"(2019-05-26 00:00:00, 2019-06-20 00:00:00]",2,0.0,2019-05-26 00:00:00.000000,2019-06-20,2019-06-07 12:00:00.000000,,-0.0004385964912280217,Stable,0.0004217776746014
"(2019-06-20 00:00:00, 2019-07-15 00:00:00]",2,0.0,2019-06-20 00:00:00.000000,2019-07-15,2019-07-02 12:00:00.000000,,0.0,Stable,0.0004217776746014
"(2019-07-15 00:00:00, 2019-08-08 00:00:00]",2,0.0004266211604095,2019-07-15 00:00:00.000000,2019-08-08,2019-07-27 00:00:00.000000,,0.0004266211604095,Stable,0.0004217776746014
"(2019-08-08 00:00:00, 2019-09-01 00:00:00]",2,0.0013398838767306,2019-08-08 00:00:00.000000,2019-09-01,2019-08-20 00:00:00.000000,,0.0009128732652693639,Stable,0.0004217776746014
"(2019-09-01 00:00:00, 2019-09-25 00:00:00]",2,0.0004330879168471,2019-09-01 00:00:00.000000,2019-09-25,2019-09-13 00:00:00.000000,,-0.0009055825843796417,Stable,0.0004217776746014
