topic_id,timestamp,bin_start,bin_end,frequency,growth_velocity,semantic_velocity,keywords,z_score_growth_vel
272,2021-07-13 00:00:00.000000,2021-06-08 00:00:00.000000,2021-08-17,0.0043497172683775,0.0034721727360329403,0.46643733978271484,"cases, records, new, recorded, local",4.072011587918471
20,2019-09-13 00:00:00.000000,2019-09-01 00:00:00.000000,2019-09-25,0.0047639670853183,0.003867256717549219,,,4.055648127169646
165,2020-03-11 12:00:00.000000,2020-02-28 00:00:00.000000,2020-03-24,0.0025862068965517,0.0025862068965517,0.016049861907958984,"coronavirus, covid, hand, handwashing, sanitiser",4.0428298893683685
631,2019-07-27 00:00:00.000000,2019-07-15 00:00:00.000000,2019-08-08,0.0025597269624573,0.0025597269624573,0.5330713987350464,"shooting, dead, california, texas, garlic",4.0334847061680845
463,2021-07-13 00:00:00.000000,2021-06-08 00:00:00.000000,2021-08-17,0.0400173988690735,0.026994728503269103,0.2285449504852295,"lockdown, extended, sydney, victoria, nsw",4.031795497020951
87,2020-10-16 00:00:00.000000,2020-10-06 00:00:00.000000,2020-10-26,0.0025456088247772,0.0020901133187232893,0.6803563833236694,"wrap, crown",4.031654361604959
195,2020-02-16 12:00:00.000000,2020-02-05 00:00:00.000000,2020-02-28,0.0044583147570218,0.0044583147570218,0.5403630137443542,"kevins, college, principal, acting, bendigo",4.030263048249538
311,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0087757788503729,0.007891275756247287,0.8505094051361084,"china, trump, trade, wall, street",4.022921874757073
109,2021-04-30 12:00:00.000000,2021-03-23 00:00:00.000000,2021-06-08,0.0144293834717971,0.012655905528664625,0.8651776313781738,"prince, philip, edinburgh, duke, tribute",4.0140623380664175
399,2021-11-26 00:00:00.000000,2021-10-22 00:00:00.000000,2021-12-31,0.0026052974381241,0.0026052974381241,0.3467397689819336,"parliament, final, sitting, day, turbulent",4.005476309018437
250,2019-12-23 00:00:00.000000,2019-12-07 00:00:00.000000,2020-01-08,0.0101694915254237,0.0101694915254237,0.1645490527153015,"iran, soleimani, qassem, trump, donald",4.0053656760728344
537,2020-07-12 12:00:00.000000,2020-07-03 00:00:00.000000,2020-07-22,0.006768953068592,0.005487533102870484,0.3859844207763672,"news, australia, live, covid, victoria",3.9926637600298216
369,2020-06-24 00:00:00.000000,2020-06-15 00:00:00.000000,2020-07-03,0.0067969413763806,0.006368517146007703,0.500078022480011,"university, fees, fee, humanities, arts",3.991481966597204
8,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.0022331397945511,0.0018057482637219235,,,3.987064727650286
385,2019-11-25 00:00:00.000000,2019-11-13 00:00:00.000000,2019-12-07,0.0040124832813196,0.0040124832813196,0.19079536199569702,"casey, hears, developer, corruption, councillor",3.9848638845046502
55,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0122860903905221,0.011842105263157885,0.4922870397567749,"eurovision, performs, miller, kate, heidke",3.9756371802469213
526,2021-11-26 00:00:00.000000,2021-10-22 00:00:00.000000,2021-12-31,0.0034737299174989,0.0034737299174989,0.9435127377510071,"west, sharon, saya, sakakibara, ryley",3.974465337712538
440,2020-04-05 00:00:00.000000,2020-03-24 00:00:00.000000,2020-04-17,0.0091583078935891,0.005258597815855264,0.3071058988571167,"coronavirus, rent, landlords, renters, queensland",3.9710826897877167
215,2021-02-18 12:00:00.000000,2021-02-09 00:00:00.000000,2021-02-28,0.028966709900562,0.023301073632579238,0.3944277763366699,"facebook, news, ban, media, code",3.961018906720477
268,2020-11-04 12:00:00.000000,2020-10-26 00:00:00.000000,2020-11-14,0.016365202411714,0.012927180585374174,0.48137933015823364,"trump, donald, election, trumps, biden",3.926485963076474
135,2020-11-04 12:00:00.000000,2020-10-26 00:00:00.000000,2020-11-14,0.0051679586563307,0.00474167877564531,0.20303314924240112,"nsw, maroons, queensland, blues, qld",3.919247303932015
417,2019-12-23 00:00:00.000000,2019-12-07 00:00:00.000000,2020-01-08,0.0042372881355932,0.0042372881355932,0.5452091693878174,"hobart, comanche, race, honours, line",3.913555545448155
341,2021-07-13 00:00:00.000000,2021-06-08 00:00:00.000000,2021-08-17,0.003479773814702,0.003479773814702,0.22200655937194824,"building, collapsed, partially, collapse, destroyed",3.9132427215652243
339,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0021468441391155,0.0016948157926387148,0.41964566707611084,"election, analysis, queensland, accused, scaremongering",3.9072419749598213
206,2020-05-17 12:00:00.000000,2020-05-08 00:00:00.000000,2020-05-27,0.0035539760106619,0.0027148840574757367,0.6027843356132507,"coronavirus, trump, donald, covid, trial",3.9058118086754114
107,2019-11-25 00:00:00.000000,2019-11-13 00:00:00.000000,2019-12-07,0.0062416406598305,0.0049193783199358585,0.8215193152427673,"measles, samoa, crisis, deadly, outbreak",3.905414828224973
