topic_id,timestamp,bin_start,bin_end,frequency,growth_velocity,semantic_velocity,keywords
26,2019-07-02 12:00:00.000000,2019-06-20 00:00:00.000000,2019-07-15,0.0013458950201884,-0.00033916328022412664,0.5781883001327515,"wednesday, martin, lakos, finance, markets"
26,2019-07-27 00:00:00.000000,2019-07-15 00:00:00.000000,2019-08-08,0.0008532423208191,-0.0004919905317626209,0.5411710739135742,"martin, lignos, lakos, elsa"
26,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.0,-0.00085251491901107,0.5362583994865417,"martin, lakos, markets, wednesday, finance"
26,2019-10-08 00:00:00.000000,2019-09-25 00:00:00.000000,2019-10-21,0.0012578616352201,0.0008244166734732714,0.4498385190963745,"thursday, phillip, lasker, finance, wednesday"
26,2019-11-01 12:00:00.000000,2019-10-21 00:00:00.000000,2019-11-13,0.0008771929824561,-0.00038019042581329134,0.4498385190963745,"martin, lakos, markets, wednesday, finance"
26,2020-06-05 12:00:00.000000,2020-05-27 00:00:00.000000,2020-06-15,0.0008514261387824,0.0008514261387824,0.39134764671325684,"wednesday, thursday, phillip, martin, markets"
26,2020-06-24 00:00:00.000000,2020-06-15 00:00:00.000000,2020-07-03,0.0,-0.0008507018290088719,0.39134764671325684,"martin, lakos, markets, wednesday, finance"
26,2020-07-12 12:00:00.000000,2020-07-03 00:00:00.000000,2020-07-22,0.0009025270758122,0.0009025270758122,0.39134764671325684,"wednesday, thursday, phillip, martin, markets"
26,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0,-0.0009017132551847769,0.39134764671325684,"martin, lakos, markets, wednesday, finance"
27,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0030715225976305,-0.0013106159895150268,0.7020927667617798,"sydney, briefing, morning, thursday, friday"
27,2019-06-07 12:00:00.000000,2019-05-26 00:00:00.000000,2019-06-20,0.0025284450063211,-0.0005414146240569213,0.7146487236022949,"thursday, wednesday, tuesday, monday, friday"
27,2019-07-27 00:00:00.000000,2019-07-15 00:00:00.000000,2019-08-08,0.0021331058020477,-0.0005571844148704982,0.4450019598007202,"sydney, july, august, wednesday, tuesday"
27,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.004019651630192,0.0018825301920690673,0.5978778600692749,"monday, friday, wednesday, tuesday, thursday"
27,2019-10-08 00:00:00.000000,2019-09-25 00:00:00.000000,2019-10-21,0.0033542976939203,-0.0009723702564631424,0.6245219707489014,"briefing, october, wednesday, friday, thursday"
