model,topic_id,top_words
BERTopic,97,"morrison, scott, cabinet, points, prime, national, key, stimulus, coronavirus, update"
BERTopic,98,"birds, parrot, bird, finch, bellied, parrots, geese, nest, throated, birdwatchers"
BERTopic,99,"bee, bees, honey, beekeepers, beekeeping, pollination, native, regent, honeyeaters, beekeeper"
BERTopic,100,"eddie, collingwood, mcguire, racism, lumumba, betts, heritier, racist, goodes, afl"
BERTopic,101,"reef, barrier, coral, great, bleaching, reefs, spawning, scientists, artificial, ivf"
BERTopic,102,"matter, lives, black, protest, protests, rally, organisers, plaza, protesters, racism"
BERTopic,103,"christchurch, mosque, shooting, shootings, tarrant, brenton, attack, zealand, attacks, terror"
BERTopic,104,"prix, ricciardo, hamilton, lewis, grand, verstappen, formula, daniel, grosjean, schumacher"
BERTopic,105,"jobkeeper, jobseeker, payment, jobs, subsidy, jobmaker, extension, wage, payments, cut"
BERTopic,106,"crocodile, croc, crocodiles, saltwater, irwin, crocs, bindi, crocodylus, ranger, fisherman"
BERTopic,107,"liverpool, champions, league, goal, manchester, tottenham, barcelona, messi, arsenal, bayern"
BERTopic,108,"nba, simmons, basketball, boomers, nbl, ben, hawks, lamelo, illawarra, bogut"
BERTopic,109,"anzac, day, dawn, hurley, service, veterans, governor, general, commemorate, services"
BERTopic,110,"emissions, carbon, net, methane, fact, greenhouse, neutral, zero, reduction, check"
BERTopic,111,"syria, turkey, baghdadi, syrian, bakr, abu, islamic, turkish, iraq, kurds"
BERTopic,112,"astrazeneca, oxford, vaccine, rollout, efficacy, italy, vaccines, shipment, doses, novavax"
BERTopic,113,"bubble, travel, tasman, trans, zealand, fiji, ardern, jacinda, suspension, bubbles"
BERTopic,114,"cemetery, burial, graves, unmarked, egypt, coffins, grave, funerals, funeral, deceased"
BERTopic,115,"iran, soleimani, iranian, qassem, sanctions, nuclear, irans, tensions, donald, trump"
BERTopic,116,"cancer, breast, brca, patients, implant, treatment, chemotherapy, immunotherapy, patient, peta"
BERTopic,117,"homelessness, homeless, tiny, tent, shelter, city, housing, older, fremantle, homes"
BERTopic,118,"alcohol, liquor, drinking, drinkers, register, drinks, booze, banned, alcoholics, guidelines"
BERTopic,119,"nbn, telstra, internet, outage, broadband, customers, upgrade, telstras, payphones, outages"
BERTopic,120,"spacex, space, astronauts, rocket, launch, nasa, starship, elon, iss, musk"
BERTopic,121,"plus, one, lewin, sharon, woo, takes, drysdale, jane, montaigne, doherty"
BERTopic,122,"resigns, quits, resignation, resign, chairman, ceo, hodgman, giuseppe, conte, eccles"
BERTopic,123,"quiz, news, ending, abc, friday, you, week, january, june, jan"
BERTopic,124,"princess, ruby, diamond, cruise, ship, passengers, inquiry, crew, passenger, disembarked"
BERTopic,125,"council, mayor, rockhampton, sacked, hooper, mayoral, wingecarribee, harding, tate, armidale"
BERTopic,126,"basin, darling, murray, water, irrigators, keelty, plan, mick, authority, rail"
BERTopic,127,"claremont, serial, killings, glennon, ciara, dna, rimmer, trial, killer, evidence"
BERTopic,128,"epstein, jeffrey, ghislaine, maxwell, epsteins, prince, andrew, trafficking, deposition, accuser"
BERTopic,129,"turtle, turtles, sea, hatchlings, flatback, galapagos, green, manning, hatchling, tortoise"
BERTopic,130,"suicide, prevention, suicides, mental, kimberley, youth, health, coroner, suicidal, inquest"
BERTopic,131,"tas, briefing, daily, brief, news, august, june, morning, sept, september"
BERTopic,132,"assange, julian, wikileaks, extradition, founder, assanges, hearing, embassy, manning, chelsea"
BERTopic,133,"compensation, underpaid, theft, wage, underpaying, unfair, fair, workers, payout, guthrie"
BERTopic,134,"myanmar, coup, myanmars, military, junta, turnell, protesters, protests, rohingya, sean"
BERTopic,135,"papua, indonesian, indonesia, guinea, papuan, joko, widodo, indonesians, prabowo, subianto"
BERTopic,136,"fruit, mango, citrus, strawberry, apple, mangoes, harvest, strawberries, growers, picking"
BERTopic,137,"alice, springs, gallery, kumantje, blackout, arrernte, nelson, crime, youth, farewelled"
BERTopic,138,"thai, thailand, king, bangkok, monarchy, thailands, pabuk, coronation, protests, protesters"
BERTopic,139,"snake, snakes, brown, python, bite, bellied, catcher, bitten, eastern, snakebite"
BERTopic,140,"folau, israel, rugby, cheika, wallabies, folaus, gay, crowdfunding, comments, posts"
BERTopic,141,"activity, analysis, market, markets, report, with, and, plentiful, connecting, volatile"
BERTopic,142,"tour, france, ewan, caleb, porte, stage, richie, roglic, giro, primoz"
BERTopic,143,"westpac, laundering, money, austrac, asic, lending, banking, hartzer, chairman, anz"
BERTopic,144,"talking, pictures, pic, week, abcmyphoto, photos, best, pics, past, the"
BERTopic,145,"stabbing, stabbed, stabbings, scientology, investigate, attack, reading, victim, maldives, officer"
BERTopic,146,"wool, shearing, woolworths, shearers, shearer, woolgrowers, woolshed, market, industry, fibre"
BERTopic,147,"antarctica, ice, antarctic, glacier, iceberg, shelf, iceland, arctic, sea, cores"
BERTopic,148,"planet, america, extra, october, march, february, august, september, november, june"
BERTopic,149,"rba, rates, interest, rate, lowe, cut, governor, philip, cuts, hold"
BERTopic,150,"abortion, abortions, bill, poland, passes, law, debate, alabama, decriminalised, clinic"
BERTopic,151,"briggs, casey, analyst, looks, todays, look, figures, data, takes, breaks"
BERTopic,152,"sutton, brett, tested, hazzard, testing, brad, victorians, urges, numbers, test"
BERTopic,153,"palmer, clive, nickel, mcgowan, twisted, challenge, legal, mark, border, sister"
BERTopic,154,"rent, rental, landlords, renters, tenants, eviction, property, relief, market, housing"
BERTopic,155,"kyrgios, nick, open, atp, nadal, rafael, minaur, round, tomic, match"
BERTopic,156,"erosion, beach, coastal, bribie, sand, beaches, byron, foam, bay, island"
BERTopic,157,"disability, disabilities, people, access, housing, accessible, employment, idpwd, empowers, advocate"
BERTopic,158,"unemployment, abs, jobs, employment, rate, figures, underemployment, steady, unemployed, data"
BERTopic,159,"prison, prisoner, prisoners, escape, risdon, escapee, burdon, remand, escapes, jail"
BERTopic,160,"gaza, israel, israeli, hamas, palestinian, ceasefire, palestinians, strikes, settlements, airstrikes"
BERTopic,161,"restaurants, cafes, pubs, restaurant, dining, cafe, reopen, restrictions, outdoor, takeaway"
BERTopic,162,"woods, tiger, masters, dechambeau, bryson, pga, golf, championship, dustin, jason"
BERTopic,163,"earthquake, magnitude, tsunami, turkey, quake, shakes, shaking, strikes, rattles, felt"
BERTopic,164,"oscars, globes, golden, oscar, academy, best, picture, parasite, awards, carpet"
BERTopic,165,"youth, crime, detention, juvenile, bimberi, justice, lnp, townsville, centre, dale"
BERTopic,166,"boris, johnson, englands, lockdown, icu, announces, england, pubs, britain, johnsons"
BERTopic,167,"dinosaur, fossil, dinosaurs, fossils, jurassic, footprints, prehistoric, tyrannosaurus, carnivore, skull"
BERTopic,168,"flights, cheap, airfares, jetstar, rex, airlines, airline, discount, kununurra, express"
BERTopic,169,"gobbo, nicola, lawyer, commission, royal, informer, dale, tomato, goulburn, overland"
BERTopic,170,"volcano, white, eruption, island, zealand, volcanic, dallow, erupted, victims, disaster"
BERTopic,171,"cat, cats, tiger, feral, zoo, zookeeper, king, shoalhaven, bylaw, segula"
BERTopic,172,"tinto, rio, juukan, gorge, caves, blast, heritage, bhp, destruction, blasting"
BERTopic,173,"fertility, ivf, sperm, donor, embryos, infertility, egg, conceived, journey, reproduction"
BERTopic,174,"day, celebrations, celebrates, date, eve, citizenship, marks, boney, liege, festivities"
BERTopic,175,"barnaby, joyce, mccormack, nationals, michael, joyces, leadership, leader, deputy, glenday"
BERTopic,176,"dutton, malcolm, peter, turnbull, turnbulls, dickson, ali, affairs, duttons, france"
