topic_id,event_date,frequency,z_score,keywords,event_type
341,2021-07-13 00:00:00.000000,0.003479773814702,4.93,,SUDDEN_SPIKE_FREQ
444,2019-05-14 12:00:00.000000,0.0430013163668275,4.92,,SUDDEN_SPIKE_FREQ
85,2021-02-18 12:00:00.000000,0.0034587116299178,4.91,,SUDDEN_SPIKE_FREQ
429,2021-09-19 00:00:00.000000,0.0144104803493449,4.91,,SUDDEN_SPIKE_FREQ
310,2021-02-18 12:00:00.000000,0.0060527453523562,4.9,,SUDDEN_SPIKE_FREQ
373,2019-11-25 00:00:00.000000,0.0084707980383415,4.9,,SUDDEN_SPIKE_FREQ
32,2021-07-13 00:00:00.000000,0.0139190952588081,4.89,,SUDDEN_SPIKE_FREQ
541,2020-12-13 12:00:00.000000,0.0052631578947368,4.88,,SUDDEN_SPIKE_FREQ
353,2021-01-06 00:00:00.000000,0.0057983942908117,4.88,,SUDDEN_SPIKE_FREQ
159,2020-11-04 12:00:00.000000,0.0030146425495262,4.88,,SUDDEN_SPIKE_FREQ
266,2019-01-14 23:59:59.999999,0.0050462573591253,4.88,,SUDDEN_SPIKE_FREQ
577,2020-11-04 12:00:00.000000,0.0047372954349698,4.87,,SUDDEN_SPIKE_FREQ
570,2020-07-12 12:00:00.000000,0.009927797833935,4.87,,SUDDEN_SPIKE_FREQ
265,2019-03-28 00:00:00.000000,0.0072309655465759,4.87,,SUDDEN_SPIKE_FREQ
343,2019-10-08 00:00:00.000000,0.0050314465408805,4.85,,SUDDEN_SPIKE_FREQ
404,2019-03-28 00:00:00.000000,0.0029774564015312,4.84,,SUDDEN_SPIKE_FREQ
586,2020-03-11 12:00:00.000000,0.0047413793103448,4.83,,SUDDEN_SPIKE_FREQ
391,2019-05-14 12:00:00.000000,0.0065818341377797,4.83,,SUDDEN_SPIKE_FREQ
199,2019-05-14 12:00:00.000000,0.0096533567354102,4.82,,SUDDEN_SPIKE_FREQ
498,2019-05-14 12:00:00.000000,0.0052654673102237,4.81,,SUDDEN_SPIKE_FREQ
296,2020-02-16 12:00:00.000000,0.0053499777084262,4.81,,SUDDEN_SPIKE_FREQ
627,2020-11-23 12:00:00.000000,0.0038659793814432,4.81,,SUDDEN_SPIKE_FREQ
356,2020-11-04 12:00:00.000000,0.0030146425495262,4.81,,SUDDEN_SPIKE_FREQ
544,2019-02-09 00:00:00.000000,0.0062583817612874,4.79,,SUDDEN_SPIKE_FREQ
494,2020-03-11 12:00:00.000000,0.0068965517241379,4.78,,SUDDEN_SPIKE_FREQ
306,2021-07-13 00:00:00.000000,0.0086994345367551,4.78,,SUDDEN_SPIKE_FREQ
217,2019-09-13 00:00:00.000000,0.0030316154179298,4.77,,SUDDEN_SPIKE_FREQ
120,2020-10-16 00:00:00.000000,0.0042426813746287,4.77,,SUDDEN_SPIKE_FREQ
156,2020-06-05 12:00:00.000000,0.0042571306939123,4.77,,SUDDEN_SPIKE_FREQ
375,2020-12-13 12:00:00.000000,0.0030701754385964,4.76,,SUDDEN_SPIKE_FREQ
173,2020-03-11 12:00:00.000000,0.0025862068965517,4.76,,SUDDEN_SPIKE_FREQ
154,2020-12-13 12:00:00.000000,0.0057017543859649,4.75,,SUDDEN_SPIKE_FREQ
380,2020-06-24 00:00:00.000000,0.0029736618521665,4.68,,SUDDEN_SPIKE_FREQ
631,2019-07-27 00:00:00.000000,0.0025597269624573,4.67,,SUDDEN_SPIKE_FREQ
615,2021-02-18 12:00:00.000000,0.004755728491137,4.64,,SUDDEN_SPIKE_FREQ
252,2019-10-08 00:00:00.000000,0.0037735849056603,4.63,,SUDDEN_SPIKE_FREQ
237,2019-03-04 00:00:00.000000,0.0051216389244558,4.62,,SUDDEN_SPIKE_FREQ
399,2021-11-26 00:00:00.000000,0.0026052974381241,4.62,,SUDDEN_SPIKE_FREQ
572,2020-05-17 12:00:00.000000,0.0031097290093291,4.62,,SUDDEN_SPIKE_FREQ
290,2020-01-22 00:00:00.000000,0.0043103448275862,4.61,,SUDDEN_SPIKE_FREQ
376,2020-05-17 12:00:00.000000,0.0039982230119946,4.6,,SUDDEN_SPIKE_FREQ
593,2020-04-05 00:00:00.000000,0.003052769297863,4.6,,SUDDEN_SPIKE_FREQ
108,2021-03-11 12:00:00.000000,0.015323992994746,4.6,,SUDDEN_SPIKE_FREQ
592,2019-01-14 23:59:59.999999,0.0138772077375946,4.59,,SUDDEN_SPIKE_FREQ
44,2021-09-19 00:00:00.000000,0.0131004366812227,4.59,,SUDDEN_SPIKE_FREQ
241,2020-11-23 12:00:00.000000,0.0030068728522336,4.56,,SUDDEN_SPIKE_FREQ
352,2020-04-27 12:00:00.000000,0.003347280334728,4.56,,SUDDEN_SPIKE_FREQ
466,2019-03-04 00:00:00.000000,0.0025608194622279,4.54,,SUDDEN_SPIKE_FREQ
233,2019-02-09 00:00:00.000000,0.0093875726419311,4.54,,SUDDEN_SPIKE_FREQ
147,2019-09-13 00:00:00.000000,0.0025985275010827,4.53,,SUDDEN_SPIKE_FREQ
