anchor_id,anchor_label,gdelt_theme_expected,source,date,topic_id,keywords,probe_hits,velocity,velocity_z
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,181,"grants, sports, mckenzie, bridget, morrison",0,0.0064655172413793,5.04785308991021
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,228,"sports, grants, government, sport, rorts",0,0.0047413793103448,4.7815988805153316
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,245,"kobe, bryant, lakers, nba, los",0,0.0068965517241379,4.765916136383622
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,583,"china, coronavirus, covid, wuhan, australia",4,0.0137960232415545,4.513462759096286
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,270,"peter, gutwein, premier, tasmanian, tasmania",0,0.0030172413793103,3.923276077029441
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,28,"thursday, tuesday, monday, wednesday, friday",0,0.0060439720867762,3.702685548944491
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,118,"climate, australia, change, australians, pacific",0,0.0021551724137931,3.5001574775737376
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,559,"rain, queensland, rainfall, heavy, west",0,0.0056133025781774,3.4224090824326514
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,169,"open, australian, djokovic, federer, nadal",0,0.0107813366813629,3.3137940661008995
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,248,"sanders, bernie, warren, elizabeth, democratic",0,0.0030172413793103,3.2436323735981913
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,166,"barty, ash, open, australian, tennis",0,0.0116426756985605,3.024869694382837
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,82,"morrison, climate, scott, change, summit",0,0.0025862068965517,2.9406154140207956
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,170,"kyrgios, nick, open, australian, tomic",0,0.0056083775139113,2.9110904731927785
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,92,"meghan, harry, prince, markle, royal",0,0.0099168966977755,2.8718222535443463
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,167,"tennis, open, australian, murray, andy",0,0.0034599550351835,2.7502253021229
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,308,"dinosaur, dinosaurs, fossil, new, fossils",0,0.0021551724137931,2.7365904206886387
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,543,"dust, storm, storms, mildura, queensland",0,0.00216156216682,2.6076577721369114
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,50,"briefing, morning, friday, january, tuesday",0,0.00216156216682,2.5932595933758047
covid_first_au,First Australian COVID case,HEALTH_PANDEMIC,spike_events,2020-01-22,325,"blind, vision, braille, national, impaired",0,0.0012931034482758,2.5448255381640337
